ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-04-07 20:03,454,ea-sports-fc-25,True,miguelitodoarrocha,pt,EA Sports FC 25,💥sera q vem 10vit na wl ?? COPA DOS STREAMERS - bem vindos a live Do Miguelito,"['Português', 'Portugal', 'Competitivo', 'resenha', 'Resenhando', 'ultimateteam', 'fifa', 'EAFC', 'eafc25', 'eafcsports']",[],False
0,2025-04-07 20:03,454,ea-sports-fc-25,False,VovinhoFUT,pt,EA Sports FC 25,💥PPs E PACKs EM BUSCA DOS IMORTAIS! WL DO CALVISMO FC COM NOSSAS EVOs! !GRUPO !CURSO !TRADE !LIVEPIX,"['Português', 'ultimateteam', 'EAFC', 'EASportsFC', 'fifa', 'FC25', 'EAFC25']",[],False
0,2025-04-07 20:03,454,ea-sports-fc-25,False,Hairzinho,pt,EA Sports FC 25,ALGUMA COISA PRA FAZER E PRO CLUBS MORAL DOS BRO! + !GRUPO + !PARCERIA !REDES !TIKTOK,"['ULTIMATETEAM', 'RAGE', 'ENGRACADO', 'PACKS', 'COMPETITIVO', 'Português', 'Brasil', 'WeekendLeague', 'Portugal', 'Reposição']",[],False
1,2025-04-07 20:13,361,the-sims-4,True,renatisses,pt,The Sims 4,Bora começar um legado com a Olivia?,"['Brasil', 'Português', 'sorteio', 'thesims']",[],False
1,2025-04-07 20:13,361,the-sims-4,False,makkatv,pt,The Sims 4,🇵🇹 🔴 Big Makka (Reality Show da Twitch) Brevemente 🔴 #RETRO25 !bigmakka !retromakka !youtube !tiktok !instagram !comandos #letsfgo,"['Retro', 'RPG', 'Story', 'Chatting', 'LoFi', 'Português', 'Firstplaythrough', 'Portugal', 'Singleplayer', 'Cozy']",[],False
1,2025-04-07 20:13,361,the-sims-4,False,TopeiraBanguela,pt,The Sims 4,🎂Topeiraversário: Parabéns pra mim e paciência pra vocês 🥳 | 🎁 !Bits !Pix !Festa !Aniversario 🎉,"['LGBTQIAPlus', 'CoWorking', 'Português', 'Cozy', 'Pomodoro', 'aconchegante']",['ProfanityVulgarity'],False
2,2025-04-07 20:22,376,minecraft,True,EiMine77,pt,Minecraft,✅ RECOMPENSAS ON! | ⭐ SEJA RÁPIDO E GANHE UMA CAPA DE GRAÇA: !CAPA | 💘 INSTAGRAM: @EIMINE77 | !ajuda !rerun !sub !subgratis !loja,"['Minecraft', 'EiMine', 'Português']",[],False
2,2025-04-07 20:22,376,minecraft,False,SARAMEGUMI,pt,Minecraft,JOGANDO MINECRAFT com o CHAT ( meta 10 mil 🥺seguidores ),"['Português', 'Woman', 'girl', 'conversa', 'Mulher', 'gameplay', 'justcchatting', 'minecraftstream', 'MinecraftJavaEditon', 'BedrockMinecraft']",[],False
2,2025-04-07 20:22,376,minecraft,False,Lissyanna,pt,Minecraft,Dia de Gacha no cobblemon -  !Bear !RP !instagram !discord !pix !doar,"['Português', 'Reposição']",[],True
3,2025-04-08 00:01,591,marvel-rivals,True,Dilascio_,pt,Marvel Rivals,SÓ HERÓI MELEE ATÉ O ETERNIDADE,"['Português', 'Competitivo', 'Conversa', 'top500', 'overwatch', 'English']",[],False
3,2025-04-08 00:01,591,marvel-rivals,False,amoedo_,pt,Marvel Rivals,Rankeds Eternity !pix !passegratis !discord,['Português'],[],False
3,2025-04-08 00:01,591,marvel-rivals,False,ckgeek,pt,Marvel Rivals,"O PAI TA ON, RUMO AO GM","['Português', 'DropsAtivados']",[],False
4,2025-04-08 00:13,450,the-sims-4,False,bkmibri_,pt,The Sims 4,VC QUEREM POPCORN E ICE CREAM?  | !pixIA,"['LGBT', 'batepapo', 'cozygames', 'Português', 'indiegames']",[],False
4,2025-04-08 00:13,450,the-sims-4,False,Candy____S2,pt,The Sims 4,The Sims - Part 3,"['girlgamers', 'girl', 'SweetVoice', 'Português', 'thesims4', 'sims4', 'Sims4letsplay']",[],False
4,2025-04-08 00:13,450,the-sims-4,False,PixelMagico,pt,The Sims 4,Bora jogar e dar boas risadas? 🎮✨,"['GamesAndChatting', 'Reposição', 'Português', 'sims4livestream', 'thesims4', 'thesims', 'thesims4gamer']",[],False
5,2025-04-08 00:23,505,overwatch-2,False,lulinha__,pt,Overwatch 2,Brincando de brincadeira,"['Depressão', 'naoseifalar', 'Português']",[],False
5,2025-04-08 00:23,505,overwatch-2,True,VioletKill,pt,Overwatch 2,!DROPS || O SONHO AINDA TA VIVO || !SORTEIO,"['LGBT', 'mulher', 'gamergirl', 'FPs', 'LGBTQIA', 'TDAH', 'Português', 'giveaway', 'DropsEnabeled', 'drops']",[],False
5,2025-04-08 00:23,505,overwatch-2,False,exexeboy,pt,Overwatch 2,bits? 🙌 sub? 🙌 lurk? 🙌 (me ajuda na meta por favorzinho),"['Portuguese', 'Português']",[],False
6,2025-04-08 00:34,367,grand-theft-auto-v,True,CriaPlayer,pt,Grand Theft Auto V,🎃GOTHAM RP🎃 #83 TROPA DO VIDIGAL NÃO PERDE GUERRA!!! #VdgPraKrlh #TropaDosDodóis !gotham  !fancam,['Português'],"['MatureGame', 'ProfanityVulgarity']",False
6,2025-04-08 00:34,367,grand-theft-auto-v,False,Doiska_Rj,pt,Grand Theft Auto V,[Fronteira Leste]  +18 O QUE FIZERAM COM DOISKA ?? !FRONTEIRA !PIX !CODIGUINHO !INSTA !BOOSTER @doiska_rj,['Português'],"['MatureGame', 'ProfanityVulgarity']",False
