ID,Data,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-20 19:21,Joe_Bartolozzi,en,Just Chatting,REACT THURSDAY?!?! JOIN JOIN JOIN,['English'],[],False
0,2025-03-20 19:22,HasanAbi,en,Just Chatting,IN VEGAS! BERNIE+AOC INTERVIEW / RALLY!  DEPT OF EDUCATION MIGHT GET DESTROYED?!?,"['news', 'politics', 'adhd', 'English', 'GamerRage']",['DebatedSocialIssuesAndPolitics'],False
0,2025-03-20 19:22,AussieAntics,en,Fortnite,PETE'S TRIO SPLITTING? - WATCHING FNCS TRIO CASH CUP,['English'],[],False
0,2025-03-20 19:22,Zentreya,en,Human: Fall Flat,COLLAB TIME w/ @HarukaKaribu @HeavenlyFather @Meicha @BeepersVT @Baddaboom_ + WESTERN OUTFIT | !gs !plushie !merch !viteramen | #VSHOJO,"['GoodMusicTaste', 'gamer', 'VSHOJO', 'music', 'PositiveVibes', 'ENVtuber', 'ForkliftCertified', 'Vtuber', 'Mindbreak', 'vtuber']",[],True
0,2025-03-20 19:22,jasontheween,en,Just Chatting,🔴NETFLIX STAR🔴INSIDE SLEEPOVER PLANNING w/PK HUMBLE🔴EPICNESS AND AWESOMENESS🔴!vod !socials,['English'],[],False
0,2025-03-20 19:22,FroggerOW,en,Overwatch 2,[DROPS ON!] I LOVE OVERWATCH SO MUCH ^_^,"['Australian', 'English', 'DropsEnabled']",[],False
0,2025-03-20 19:22,BunkerGamerMx,es,Overwatch 2,JUEVEVES | VALENTINA GILABERT SALE A HABLAR | TODOS VS SHEINBAUM | EL CLIMA | MONTERREY CONTINUA EMPAPNIZADO | OW Y MUCHO MAS,"['Español', 'Army', 'Swiftie', '420friendly', 'prietofriendly', 'overwatchstreamer', 'ageofmythologygameplay', 'PodcastStreamer', 'DropsActivados']",['ProfanityVulgarity'],False
0,2025-03-20 19:22,umaritooo,es,Overwatch 2,jugando con los panas overwacho !drops,"['Chile', 'TDAH', 'Mujer', 'kpop', 'Español', 'gaming', 'Latino', 'drops', 'DropsActivados']",[],False
0,2025-03-20 19:22,ElPekeTonyTTV,es,Minecraft,CONSTRUIMOS UN RING DE PELEAS🖤MINECRAFT CON SEGUIDORES🔥TÚ ELIGES LA MÚSICA 🔥!musica !sorteo !redes !clip🔥,"['Español', 'chill', 'casual', 'gaming', 'minecraft', 'musica', 'charla', 'pokemon', 'pixelmon', 'Recompensasdeespectador']",[],False
1,2025-03-20 19:30,Joe_Bartolozzi,en,Just Chatting,REACT THURSDAY?!?! JOIN JOIN JOIN,['English'],[],False
1,2025-03-20 19:30,HasanAbi,en,Just Chatting,IN VEGAS! BERNIE+AOC INTERVIEW / RALLY!  DEPT OF EDUCATION MIGHT GET DESTROYED?!?,"['news', 'politics', 'adhd', 'English', 'GamerRage']",['DebatedSocialIssuesAndPolitics'],False
1,2025-03-20 19:30,AussieAntics,en,Fortnite,PETE'S TRIO SPLITTING? - WATCHING FNCS TRIO CASH CUP,['English'],[],False
1,2025-03-20 19:30,Zentreya,en,Human: Fall Flat,COLLAB TIME w/ @HarukaKaribu @HeavenlyFather @Meicha @BeepersVT @Baddaboom_ + WESTERN OUTFIT | !gs !plushie !merch !viteramen | #VSHOJO,"['GoodMusicTaste', 'gamer', 'VSHOJO', 'music', 'PositiveVibes', 'ENVtuber', 'ForkliftCertified', 'Vtuber', 'Mindbreak', 'vtuber']",[],True
1,2025-03-20 19:30,jasontheween,en,Just Chatting,🔴NETFLIX STAR🔴INSIDE SLEEPOVER PLANNING w/PK HUMBLE🔴EPICNESS AND AWESOMENESS🔴!vod !socials,['English'],[],False
1,2025-03-20 19:30,FroggerOW,en,Overwatch 2,[DROPS ON!] I LOVE OVERWATCH SO MUCH ^_^,"['Australian', 'English', 'DropsEnabled']",[],False
