ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-20 19:24,545,minecraft,False,celinettpb,pt,Minecraft,ARKANIS - BAILÃO DO MEIAUM!,"['Português', 'RecompensasEspetadores']",[],False
0,2025-03-20 19:24,545,minecraft,False,guisobrevivente_,pt,Minecraft,[CAPE] oi bora conversar ?,"['minecraft', 'guisobrevivente', 'tiktok', 'realista', 'shaders', 'construcao', 'conversa', 'amigavel', 'Português', 'RecompensasEspetadores']",[],False
0,2025-03-20 19:24,545,minecraft,False,peqitw,pt,Minecraft,⚠️ BAILÃO DO MEIAUM EM @arkanisgg ⚠️ !Catarse !livepix,"['Minecraft', 'TazerCraft', 'Português', 'Arkanis', 'SMP', 'Pac', 'Pactw', 'RecompensasEspetadores']",[],True
1,2025-03-20 19:35,423,valorant,False,sacy,pt,VALORANT,2G ACADEMY x LOS GRANDES - #WATCHPARTYVCB,['Português'],[],False
1,2025-03-20 19:35,423,valorant,False,Coreano,pt,VALORANT,Los Grandes 0x0 2G Academy - Gamersclub Valorant Challengers Brasil Split 1,['Português'],[],False
1,2025-03-20 19:35,423,valorant,False,XAROLA_,pt,VALORANT,"O TROLLXASSO ESTÁ ONLINE, PODE COMEÇAR A BADERNA || SIGA O KING -> @xarola_","['humor', 'nordeste', 'yoru', 'lindo', 'Português', 'calvo']",[],False
2,2025-03-20 19:43,503,the-sims-4,False,AlaganDix,pt,The Sims 4,[VTuber] Carpa-Diem! 𓆝 𓆟 𓆞 𓆝 𓆟 !Redes !Discord !Pix,"['Vtuber', 'VtuberBR', 'AlaganDix', 'Português', 'ptbr', 'chatting', 'Interativo', 'Corrida', 'CollabStream', 'tarot']",[],False
2,2025-03-20 19:44,503,the-sims-4,True,huitnez,fr,The Sims 4,Génération laideur #5 ! Sims 4,"['chill', 'sims', 'discussion', 'challenge', 'Français', 'horreur', 'survie', 'sims4', 'sims4', 'bachelor']",[],False
2,2025-03-20 19:44,503,the-sims-4,False,quely_alves,pt,The Sims 4,Semana de negócios e construções!    !pixpicpay  !livepix   !comunidadezap  !discord  !setup  [+18],"['Português', 'Brasil', 'simulação', 'simer', 'react', 'thesims4', 'Thesims4gameplay', 'TheSimsChallenge']",[],False
3,2025-03-20 19:53,378,counter-strike,True,Gaules,pt,Counter-Strike,O Plano fe vs Messitas fe ESL Impact Season 7 SA - !socio - Siga @Gaules nas redes sociais!,['Português'],['MatureGame'],True
3,2025-03-20 19:53,378,counter-strike,False,enriquemachado_,pt,Counter-Strike,ALGUEM PARA TECLAR? | SORTEIO DE 3 FACAS >  !Sorteio | !topskin | !loja | !csgobig | !insane | !suaskin,['Português'],['MatureGame'],False
3,2025-03-20 19:53,378,counter-strike,False,avndeus,pt,Counter-Strike,SORTEIO DE SKINS DIRETO!! COLA !skinsvip,"['CS2', 'cs2faceit', 'ga', 'gamersclubcs', 'Português']",['MatureGame'],False
4,2025-03-20 20:01,544,league-of-legends,True,ocontagia,pt,League of Legends,PALHAÇO CONTAGIA e sua infinita ALEGRIA !comandos !desafio,"['comedia', 'live', 'YoDa', 'Brino', 'leagueoflegends', 'lol', 'english', 'portugues', 'Português']",[],False
4,2025-03-20 20:01,544,league-of-legends,False,Baiano,pt,League of Legends,🔴 CIRCUITÃO: KBM x SCCP 🔴 🌴 Próximo programa a confirmar !grupo !bb [RETRANSMISSÃO] !status !kbmidl,['Português'],[],False
4,2025-03-20 20:01,544,league-of-legends,False,Dynquedo1,pt,League of Legends,OTP QIYANNA FIZZ FOCADO LTA CHEGANDO. 😛✌️ !pix !yt,['Português'],[],False
5,2025-03-20 20:12,489,valorant,True,sacy,pt,VALORANT,2G ACADEMY x LOS GRANDES - #WATCHPARTYVCB,['Português'],[],False
5,2025-03-20 20:12,489,valorant,False,Coreano,pt,VALORANT,Los Grandes 1x0 2G Academy - Gamersclub Valorant Challengers Brasil Split 1,['Português'],[],False
5,2025-03-20 20:12,489,valorant,False,XAROLA_,pt,VALORANT,"O TROLLXASSO ESTÁ ONLINE, PODE COMEÇAR A BADERNA || SIGA O KING -> @xarola_","['humor', 'nordeste', 'yoru', 'lindo', 'Português', 'calvo']",[],False
6,2025-03-20 20:22,437,overwatch-2,False,MORGANITA,pt,Overwatch 2,DROPS ONNNNNNNN,"['Competitivo', 'Português', 'PlayingwithViewers', 'ConversandoComOChat', 'Casual', 'CasualPlaytrough', 'DropsAtivados']",[],False
6,2025-03-20 20:22,437,overwatch-2,True,summerpie_e,pt,Overwatch 2,[DROPS] Pegue suas caixinhas aqui❗store❗Amazon #OW2Season15 #OW2Brasil #OverwatchCreator,"['Overwatch2', 'Competitivo', 'FPS', 'RankedPlayer', 'OverwatchCreators', 'PTBR', 'Portugues', 'Português', 'English', 'valorantcompetetive']",[],False
6,2025-03-20 20:22,437,overwatch-2,False,mae_joga45,pt,Overwatch 2,(+18) 🎮 {DROPS ON ]  me ajudem a bater a meta de 1 mil seguidores 🫂🫂🩷🩷 - !comandos,"['Português', 'jogodeterror', 'jogofps', 'diversãogarantida', 'DropsAtivados']",[],False
7,2025-03-20 20:31,444,minecraft,False,peqitw,pt,Minecraft,⚠️ BAILÃO DO MEIAUM EM @arkanisgg ⚠️ !Catarse !livepix,"['Minecraft', 'TazerCraft', 'Português', 'Arkanis', 'SMP', 'Pac', 'Pactw', 'RecompensasEspetadores']",[],True
7,2025-03-20 20:31,444,minecraft,True,guisobrevivente_,pt,Minecraft,[CAPE] oi bora conversar ?,"['minecraft', 'guisobrevivente', 'tiktok', 'realista', 'shaders', 'construcao', 'conversa', 'amigavel', 'Português', 'RecompensasEspetadores']",[],False
7,2025-03-20 20:31,444,minecraft,False,celinettpb,pt,Minecraft,ARKANIS - BAILÃO DO MEIAUM!,"['Português', 'RecompensasEspetadores']",[],False
8,2025-03-21 00:00,527,ea-sports-fc-25,True,magaldi019,pt,EA Sports FC 25,BRASIL X C0L0MB14 A0 V1V0 C/ 1M4G3NS (MODO CARREIRA FIFA 25),['Português'],[],False
8,2025-03-21 00:00,527,ea-sports-fc-25,False,LmsMrgamer,pt,EA Sports FC 25,QUARTAS LIBERTA | ASSAULT X ARGENDIOSES // SIGA @LMSMRGAMER EM TODAS AS REDES SOCIAIS,"['lmsmrgamer', 'junin', 'brasil', 'proclubs', 'lms', 'mrgamer', 'lampard', 'eafc25', 'clubs', 'lmsmistergamer']",[],False
8,2025-03-21 00:00,527,ea-sports-fc-25,False,CielGameplay,pt,EA Sports FC 25,+18 | on já já com copa Mickey | ❗pix ❗sorteio ❗comandos | @cielgameplay,"['BR', 'Português', 'GTAⅤ', 'JogandoComOChat', 'fc25']",['ProfanityVulgarity'],True
9,2025-03-21 00:11,553,minecraft,False,ZAKl1k,pt,Minecraft,🟢 MINECRAFT | ⭐ GANHE ASSISTINDO | 🌟 REESTOQUE DIA 10 ou 16 às 18h | !loja !points !prime !sub,"['Português', 'Minecraft', 'RecompensasEspetadores']",[],False
9,2025-03-21 00:11,553,minecraft,True,mathg,pt,Minecraft,BANCA PRA TODO MUNDO !drop !clash,"['Português', 'English', 'RecompensasEspetadores']",[],False
9,2025-03-21 00:11,553,minecraft,False,v1tor,pt,Minecraft,jogando hg 😀 !pix !video,"['Português', 'minecraft', 'hg', 'flamemc', 'RecompensasEspetadores']",[],False
10,2025-03-21 00:22,499,roblox,False,NickiieTV,pt,ROBLOX,👽 SESSÃO DA TRAVA  !lanhouse  !sessão !fila  !lurdes !casaflorescer !REGRAS !audios !donate !pix !sub !comand,"['TRANS', 'ELADELA', 'ÓVINIS', 'ETS', 'FILHADOLULA', 'SURTOS', 'BRUXA', 'REACTS', 'GAMEPLAY', 'LGBTQIAPN']",['ProfanityVulgarity'],False
