ID,Data,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-20 19:24,alanzoka,pt,Assassin's Creed Shadows,acho que mais assassins creed e amanhã sexta feira 13 vou jogar asylum terrorzinho,"['Idoso', 'Gostoso', 'Português', 'DropsAtivados']",[],False
0,2025-03-20 19:24,Gaules,pt,Counter-Strike,O Plano fe vs Messitas fe ESL Impact Season 7 SA - !socio - Siga @Gaules nas redes sociais!,['Português'],['MatureGame'],True
0,2025-03-20 19:25,gabepeixe,pt,Grand Theft Auto V,?????????????? -  -> @GABEPEIXE !grupo !farm,['Português'],['MatureGame'],False
0,2025-03-20 19:25,f0rsakenwOw,pt,VALORANT,ANALISE DEEP WEB  !loco —!loco !pix !lojaeg !farmskins,['Português'],[],False
0,2025-03-20 19:25,Baiano,pt,League of Legends,🔴 CIRCUITÃO: RED x VKS🔴 🌴 Próximo programa a confirmar !grupo !bb [RETRANSMISSÃO] !status !kbmidl,['Português'],[],False
0,2025-03-20 19:25,guigzvlr,pt,VALORANT,SUBATHON - O RESGATE DO SOLDADO GUIGZ - DIA 11 !SUBATHON | !sub !parcerias !growth !tadala !soldado !bonoxs,['Português'],[],False
0,2025-03-20 19:25,EiMine77,pt,Minecraft,✅ RECOMPENSAS ON! | ⭐ SEJA RÁPIDO E GANHE UMA CAPA DE GRAÇA: !CAPA | 💘 INSTAGRAM: @EIMINE77 | !ajuda !rerun !sub !subgratis !loja,"['Minecraft', 'EiMine', 'Português', 'RecompensasEspetadores']",[],False
0,2025-03-20 19:25,aFranzita,pt,Minecraft,DIA DE SOBREVIER ♥ | DROP de Capa do Minecraft,"['PortuguêsBR', 'Português', 'jogo', 'mulherjogando', 'localseguro', 'aventura', 'noobstreamer', 'survival', 'RecompensasEspetadores']",[],False
0,2025-03-20 19:25,SenhorPuuppy,pt,Minecraft,LIVE ON | BedWars Party Aberta no Mush!!  COLA AI!!   ❗️dc ❗️sr ❗️pix ❗️textura ❗️overlay,"['minecraft', 'mushmc', 'Português', 'madrugada', 'MADRUGADÃO', 'doutorbiscoito', 'RecompensasEspetadores']",[],False
1,2025-03-20 19:35,Gaules,pt,Counter-Strike,O Plano fe vs Messitas fe ESL Impact Season 7 SA - !socio - Siga @Gaules nas redes sociais!,['Português'],['MatureGame'],True
1,2025-03-20 19:35,alanzoka,pt,Assassin's Creed Shadows,acho que mais assassins creed e amanhã sexta feira 13 vou jogar asylum terrorzinho,"['Idoso', 'Gostoso', 'Português', 'DropsAtivados']",[],False
1,2025-03-20 19:35,dona,pt,Virtual Casino,+18 FORRINHA PADRÃO (banca inicial 6k ft @Xinofril) | !pix !yt,['Português'],['Gambling'],False
1,2025-03-20 19:35,XAROLA_,pt,VALORANT,"O TROLLXASSO ESTÁ ONLINE, PODE COMEÇAR A BADERNA || SIGA O KING -> @xarola_","['humor', 'nordeste', 'yoru', 'lindo', 'Português', 'calvo']",[],False
1,2025-03-20 19:36,Baiano,pt,League of Legends,🔴 CIRCUITÃO: KBM x SCCP 🔴 🌴 Próximo programa a confirmar !grupo !bb [RETRANSMISSÃO] !status !kbmidl,['Português'],[],False
1,2025-03-20 19:36,sacy,pt,VALORANT,2G ACADEMY x LOS GRANDES - #WATCHPARTYVCB,['Português'],[],False
1,2025-03-20 19:36,frttt,pt,VALORANT,🟢AO VIVO - RADIDI GAMEPLAYS DE VOLTA - !curso !aulas,['Português'],[],False
