ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-20 18:45,319,minecraft,False,Sneegsnag,en,Minecraft,[CAPE DROP] [The REALM] THE POWER OF NIRVANA,"['English', 'ADHD', 'farts', 'mcc', 'mcyt', 'minecraft', 'moddedminecraft', 'therealm', 'ViewerRewards']",[],False
0,2025-03-20 18:45,319,minecraft,False,SlackLizard,en,Minecraft,"(Drops Turned on) Lets Play Bedrock, Hangout and Relax","['Blerps', 'Chill', 'Lurk', 'Hangout', 'Chat', 'Minecraft', 'Bedrock', 'MinecraftBedrock', 'MCPE', 'English']",[],False
0,2025-03-20 18:45,319,minecraft,True,Linkzzey,en,Minecraft,"🔴[DROPS] Hardcore 45,700+Days|4+Years|11,300+Hours !worldtour","['LetsPlay', 'English', 'Hardcore', 'RPG', 'Permadeath', 'SurvivaI', 'chill', 'hardcoreminecraft', 'FamilyFrendly', 'ViewerRewards']",[],False
0,2025-03-20 20:01,491,sea-of-thieves,False,Pace22,en,Sea of Thieves,The Sea Calls for Sneaks,"['English', 'PvP', 'memes']",[],False
0,2025-03-20 20:01,491,sea-of-thieves,True,Cobbobles,en,Sea of Thieves,🧙 Shenanigans & PvP Type Stuff 🧙 !Merch 🧙 Day 152 of Subathon !Timer Thing 🧙 !TTS !Twitter 🧙  @cobbobles,['English'],[],False
0,2025-03-20 20:01,491,sea-of-thieves,False,Sigy,en,Sea of Thieves,🔴Subscribe to the SECOND CHANNEL!🔴11/100 days in a row🔴,['English'],[],True
0,2025-03-20 20:46,376,ea-sports-fc-25,False,zwebackhd,en,EA Sports FC 25,"(+)🥶 NEW DAY, NEW ZWE!! THE CRASHOUT RECOVERY BEGINS NOW!! GER 2 ITA 1?!? Thursday RTG Vibin' !merch !prime","['FIFA', 'SPORTS', 'SOCCER', 'English', 'FC']",[],False
0,2025-03-20 20:46,376,ea-sports-fc-25,True,LA4AWALE,en,EA Sports FC 25,🚨RIVALS GRIND AND CHILL🚨GULLIT SBC SOON🚨!lootbar !youtube !prime !donations,['English'],[],False
0,2025-03-20 20:46,376,ea-sports-fc-25,False,porcoindi,en,EA Sports FC 25,"God bless your family, playing an EAFC 25, collect points for the store!",['English'],[],False
1,2025-03-20 20:54,312,fortnite,True,Clix,en,Fortnite,🏆 WINNING FNCS DIV 1 CUP | NEW CLIX TYCOON MAP !tycoon 🏆 !code,['English'],[],False
1,2025-03-20 20:54,312,fortnite,False,AussieAntics,en,Fortnite,PETE'S TRIO SPLITTING? - WATCHING FNCS TRIO CASH CUP,['English'],[],False
1,2025-03-20 20:54,312,fortnite,False,HappyHappyGal,en,Fortnite,Trying EVERY Exotic Weapon Today! 😲,"['English', 'Christian', 'Women', 'Woman', 'Girl', 'Female', 'PlayingWithViewers', 'FamilyFriendly', 'Fortnite', 'ZeroBuild']",[],False
2,2025-03-20 21:01,496,the-sims-4,False,Symone_Enchantres,en,The Sims 4,TWENTY-FIRST TAWN HAWL - SPRING HAS SPRUNG,"['LGBT', 'GAY', 'AVALONTV', 'Chill', 'ama', 'queer', 'drag', 'English']",[],False
2,2025-03-20 21:01,496,the-sims-4,False,negaoryx,en,The Sims 4,🌻 !Alphabet Legacy Gen B | Ep. 29 | !creatorcode | Black Lives Matter <3,"['LGBTQIA', 'SheHer', 'Queer', 'Asexual', 'English', 'ChatInteraction', 'Casual', 'ADHD', 'alcohol']",[],False
2,2025-03-20 21:01,496,the-sims-4,True,rickypeacock,en,The Sims 4,Gootopia day 2 | !menu,"['CoolGuy', 'AwesomeGuy', 'IntriguingGuy', 'ChicagoGuy', 'SpecialGuy', 'SillyGuy', 'English', 'LessEvilGuy', 'CuteGuy', 'CommunistUtopia']",[],False
3,2025-03-21 00:01,568,the-sims-4,False,Pikoyin,en,The Sims 4,🔥SIMS w/ @ashemondlicht pt 3 uwu !kofi !dono !throne !socials !discord 🔥,"['English', 'GremlinEnergy', 'Vtuber', 'ADHDStreamer', 'cat', 'Woman', 'karaoke', 'music', 'Yokai', 'ComfyChaotic']",[],False
3,2025-03-21 00:01,568,the-sims-4,True,rickypeacock,en,The Sims 4,Gootopia day 2 | !menu,"['CoolGuy', 'AwesomeGuy', 'IntriguingGuy', 'ChicagoGuy', 'SpecialGuy', 'SillyGuy', 'English', 'LessEvilGuy', 'CuteGuy', 'CommunistUtopia']",[],False
3,2025-03-21 00:01,568,the-sims-4,False,SteveInSpawn,en,The Sims 4,FrontPage Day! | !Throne,"['Cozy', 'Chıll', 'AMA', 'Disabled', 'Funny', 'Silly', 'Mature', 'LurkingWelcomed', 'ChatWithViewers', 'Aquarium']",[],True
4,2025-03-21 00:12,315,grand-theft-auto-v,True,Ricci,en,Grand Theft Auto V,🔴 TONY CRASH ON DUTY W/ @kaysan 🔴 GTA RP D10 🔴 LOCK IN 🔴,['English'],['MatureGame'],False
4,2025-03-21 00:12,315,grand-theft-auto-v,False,Emstrogen,en,Grand Theft Auto V,Emingle Dan | SHERIFF-ATHON 17th-23rd | PurpleRP | Streams every day @ 1PM PST,"['English', 'Roleplay', 'GTARP', 'LGBTQ', 'PurpleRP', 'PRP']",['MatureGame'],False
4,2025-03-21 00:12,315,grand-theft-auto-v,False,omareloff,en,Grand Theft Auto V,🔵 WE WIBIN 🔵 !Mohsin 🔵 !Displate 🔵 !insta 🔵 LiquidRP 🔵 Jose Exotic 🔵 GTA 5 RP 🔵 CS2 🔵 Gym: 5 🔵,['English'],['MatureGame'],False
5,2025-03-21 00:19,525,minecraft,False,LeooKnightus,en,Minecraft,[CAPE] Just Mining on play.blossomcraft.org,"['Minecraft', 'BlossomCraft', 'English', 'drops', 'Variety', 'SMP', 'ViewerRewards']",[],True
5,2025-03-21 00:19,525,minecraft,False,CaptainSparklez,en,Minecraft,Special Boy and Magic Gal Adventures!,"['English', 'ViewerRewards']",[],False
5,2025-03-21 00:19,525,minecraft,True,BadBoyHalo,en,Minecraft,Realm SMP - !CAPE [Day 106] - PINK DAY [Drop Enabled],"['English', 'Captions', 'translation', 'translations', 'ViewerRewards']",[],False
6,2025-03-21 04:00,431,counter-strike,True,MeepsterTV,en,Counter-Strike,[CS2] BEER STREAM 🎉GRINDING FOR MY DREAM SKIN🎉,"['English', 'CS2', 'CSGO']",['MatureGame'],False
6,2025-03-21 04:01,431,counter-strike,False,omareloff,en,Counter-Strike,🔵 WE WIBIN 🔵 !Mohsin 🔵 !Displate 🔵 !insta 🔵 LiquidRP 🔵 Jose Exotic 🔵 GTA 5 RP 🔵 CS2 🔵 Gym: 5 🔵,['English'],['MatureGame'],False
6,2025-03-21 04:01,431,counter-strike,False,CoachMaryy,en,Counter-Strike,🚨YO🚨😎BEST MM PLAYER IN THE WORLD😎🔴SUPER COOL STREAMER🔴❗OTAG❗🔴CT ENTRY🔴 !twitter !stinkycheck !arozzi,"['female', 'english', 'cases', 'hobby', 'cs2', 'queen', 'burger', 'English']","['MatureGame', 'ProfanityVulgarity']",False
7,2025-03-21 04:10,450,ea-sports-fc-25,True,BirKrish,en,EA Sports FC 25,Wassupppp || Grinding the worst lobbies || Apex Legends | EA FC 25 | Rocket League |,"['nepal', 'nepali', 'rocketleague', 'valorant', 'greenhell', 'English']",[],False
7,2025-03-21 04:10,450,ea-sports-fc-25,False,Simbionte,es,EA Sports FC 25,Extensible | Dia 30 | Akshually no vale o si?,['Español'],[],False
8,2025-03-21 04:19,363,valorant,False,ThomasShen1,en,VALORANT,SOLO LEVELING HEHE👿 !youtube,['English'],[],False
8,2025-03-21 04:19,363,valorant,False,zanderfps,en,VALORANT,don’t be afraid to give up the good to go for the great,['English'],[],False
8,2025-03-21 04:19,363,valorant,True,raiderh_val,en,VALORANT,IMMORTAL COMP GRIND || !discord !crosshair !sens !delay,"['fps', 'val', 'pro', 'raiderh', 'radiant', 'immortal', 'valorant', 'English']",[],False
9,2025-03-21 04:27,358,league-of-legends,True,Lourlo,en,League of Legends,🔴 GET IN HERE BIG DAY AHEAD 🔴 OFFMETA TO CHALL 🔴 MORE ARENA LATER?!? 🔴 fredPls 🔴 !newvid !ig !tts !tiktok !youtube,"['pro', 'ranked', 'Challenger', 'English', 'Anime', 'rumble', 'poppy', 'teamliquid', 'xdd', 'Arena']",[],False
9,2025-03-21 04:27,358,league-of-legends,False,Viper,en,League of Legends,Adc challenge | late night short stream,['English'],[],False
9,2025-03-21 04:27,358,league-of-legends,False,midbeast,en,League of Legends,4 games from chall??,"['leagueoflegends', 'English', 'LyingEncouraged', 'Manipulator', 'Anime', 'Australia', 'dinosaurs', 'Affectionate', 'Golf', 'trapezoid']",[],False
10,2025-03-21 08:01,339,counter-strike,True,BLASTPremier,en,Counter-Strike,"BLAST Premier Open Spring 2025, Group Stage, Day 3: The Huns vs Falcons,  Astralis vs FaZe Clan, Spirit vs MOUZ, Vitality vs Virtus.pro","['Esports', 'English', 'BLAST', 'blastpremier', 'counterstrike', 'counterstrike2']",['MatureGame'],False
10,2025-03-21 08:01,339,counter-strike,False,Stewie2K,en,Counter-Strike,gumption | !giveaway !store !socials !discord !tradeit,"['English', 'FPS', 'CSGO', 'CS2', 'PRO', 'CS', 'Multiplayer']",['MatureGame'],False
10,2025-03-21 08:01,339,counter-strike,False,ESLCS,en,Counter-Strike,HIGHLIGHTS: MOUZ vs FURIA - ESL Pro League Season 21,['English'],['MatureGame'],False
11,2025-03-21 08:08,375,league-of-legends,False,Rekkles,en,League of Legends,🔴 Los Ratones Support 🔴,['English'],[],False
11,2025-03-21 08:09,375,league-of-legends,True,SirhcEz,en,League of Legends,Singed NERFS ALREADY?!? FARM MACHINE 10cs/min | MASTERS +,"['English', 'Singed', 'Nasus', 'Filipino', 'Asian']",[],True
11,2025-03-21 08:09,375,league-of-legends,False,crownie_lol,en,League of Legends,LR CROWNIE 😈 FREAKASAURUS SEX IS HERE😜🤫 !duo,"['English', 'Educational', 'Challenger', 'botlane']",[],False
12,2025-03-21 08:17,340,ea-sports-fc-25,False,Snipeshot5000,en,EA Sports FC 25,(PRO) TOP 10 ELITE DIV RIVALS | !tactics !discord !coaching !youtube !factor #Factor75Partner,"['Pro', 'ELITE', 'English', 'SpanishAndEnglish', 'HelpsViewers']",[],False
12,2025-03-21 08:17,340,ea-sports-fc-25,True,JAMODO,en,EA Sports FC 25,🎉 LAST DAY OF FUT BIRTHDAY 🎉!dinho !newvid !highlights,"['English', 'Football', 'ProfessionalGamer', 'spanish', 'sports', 'fifa', 'eng', 'hot', 'FPL', 'fc25']",[],False
12,2025-03-21 08:17,340,ea-sports-fc-25,False,porcoindi,en,EA Sports FC 25,"God bless your family, playing an EAFC 25, collect points for the store!",['English'],[],False
13,2025-03-21 08:24,528,valorant,False,seraph_venus,en,VALORANT,"""early stream"" except i stream on time for once","['English', 'Australian', 'girlgamer', 'CatFriendly', 'OCE', 'valorantshooter']",[],False
13,2025-03-21 08:25,528,valorant,False,Lukiieb,en,VALORANT,yeah mate,"['Oce', 'Australia', 'English', 'Arab', 'Val', 'Valorant', 'FPS', 'Competitive']",[],False
13,2025-03-21 08:25,528,valorant,True,SampIe,en,VALORANT,ITS FRIDAY LETS PLAY SOME VAL,"['English', 'ADHD', 'funny', 'LOUD', 'Anime', 'fivem', 'gta', 'GTARP']",[],False
14,2025-03-21 08:35,418,minecraft,False,Longy,en,Minecraft,[!DROPS] [NEAT DUDE SMP] HOCKEY RINK IN DULOC BUILD !smp !domino | !pcrf !pally | !youtube | !epic |,"['Australian', 'English', 'ClosedCaptions', 'LGBTQIAPlus', 'zort', 'ViewerRewards']",[],False
14,2025-03-21 08:35,418,minecraft,True,MrHugo,es,Minecraft,DROPS | CAPA ESPECIAL DE PELICULA DE MINECRAFT | VER DIRECTO 3 MINUTOS! | !drops,"['Español', 'minecraft', 'MINECRAFT', 'drops', 'Recompensasdeespectador']",[],False
