ID,Data,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-20 20:47,xQc,en,Just Chatting,🛑LIVE🛑CLICK🛑LIVE🛑DRAMA🛑VIDEOS🛑GAMES🛑STUFF🛑REACT🛑IDK🛑T349879587🛑59875048390345HF🛑0598540698340568🛑09806🛑565477767643252345🛑,"['English', 'vtuber', 'depression', 'adhd', 'psychosis', 'xqc', 'femboy', 'anime', 'reaction', 'IRL']",[],False
0,2025-03-20 20:47,HasanAbi,en,Just Chatting,IN VEGAS! BERNIE+AOC INTERVIEW / RALLY!  DEPT OF EDUCATION MIGHT GET DESTROYED?!?,"['news', 'politics', 'adhd', 'English', 'GamerRage']",['DebatedSocialIssuesAndPolitics'],False
0,2025-03-20 20:47,Jynxzi,en,Tom Clancy's Rainbow Six Siege,[79/365] 🟥 2v2 Wagers w @Ricci -> R.E.P.O W/ Friends 🟥,"['English', 'LOUD', 'ADHD']",['MatureGame'],False
0,2025-03-20 20:47,summit1g,en,PUBG: BATTLEGROUNDS,pubg chillin @summit1g !starforge @starforgesystems,['English'],[],True
0,2025-03-20 20:47,Adapt,en,Just Chatting,🔴 IRL DRIVING MY GOLF CART 🔴 VIBES 🔴 GTA IRL 🔴,"['English', 'FaZe', 'FaZeClan']",[],False
0,2025-03-20 20:47,Clix,en,Fortnite,🏆 WINNING FNCS DIV 1 CUP | NEW CLIX TYCOON MAP !tycoon 🏆 !code,['English'],[],False
0,2025-03-20 20:47,zwebackhd,en,EA Sports FC 25,"(+)🥶 NEW DAY, NEW ZWE!! THE CRASHOUT RECOVERY BEGINS NOW!! GER 2 ITA 1?!? Thursday RTG Vibin' !merch !prime","['FIFA', 'SPORTS', 'SOCCER', 'English', 'FC']",[],False
0,2025-03-20 20:47,Mbytes37,en,EA Sports FC 25,GRINDING! TESTING 4222!!!,['English'],[],False
0,2025-03-20 20:47,5starazzy,en,EA Sports FC 25,PACKS AND QUALS,['English'],[],False
1,2025-03-20 20:55,Jynxzi,en,Tom Clancy's Rainbow Six Siege,[79/365] 🟥 2v2 Wagers w @Ricci -> R.E.P.O W/ Friends 🟥,"['English', 'LOUD', 'ADHD']",['MatureGame'],False
1,2025-03-20 20:55,HasanAbi,en,Just Chatting,IN VEGAS! BERNIE+AOC INTERVIEW / RALLY!  DEPT OF EDUCATION MIGHT GET DESTROYED?!?,"['news', 'politics', 'adhd', 'English', 'GamerRage']",['DebatedSocialIssuesAndPolitics'],False
1,2025-03-20 20:55,Clix,en,Fortnite,🏆 WINNING FNCS DIV 1 CUP | NEW CLIX TYCOON MAP !tycoon 🏆 !code,['English'],[],False
1,2025-03-20 20:55,shroud,en,Marvel Rivals,[DROPS] ENVY vs SEN! #RFN | !SHROUDX,"['English', 'DropsEnabled']",[],False
1,2025-03-20 20:55,jasontheween,en,Just Chatting,🔴NETFLIX STAR🔴LONDON CHILLIN w/PK HUMBLE🔴EPICNESS AND AWESOMENESS🔴!vod !socials,['English'],[],False
1,2025-03-20 20:55,summit1g,en,PUBG: BATTLEGROUNDS,pubg chillin @summit1g !starforge @starforgesystems,['English'],[],True
1,2025-03-20 20:55,Khanada_,en,Fortnite,🏆WINNING DIV 1 DAY 2 W GMONEY AND OSYDD 🏆| !toke !comm !prime !trio !diggiveaway,"['Fortnite', 'English']",[],False
1,2025-03-20 20:55,AussieAntics,en,Fortnite,PETE'S TRIO SPLITTING? - WATCHING FNCS TRIO CASH CUP,['English'],[],False
1,2025-03-20 20:55,Peterbot247Official,en,Fortnite,🔴 PETERBOT 24/7 VOD CHANNEL !settings !binds 🔴,['English'],[],False
2,2025-03-20 21:02,jasontheween,en,Just Chatting,🔴NETFLIX STAR🔴LONDON CHILLIN w/PK HUMBLE🔴EPICNESS AND AWESOMENESS🔴!vod !socials,['English'],[],False
