ID,Data,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-21 00:01,zwebackhd,en,EA Sports FC 25,"(+)🥶 NEW DAY, NEW ZWE!! THE CRASHOUT RECOVERY BEGINS NOW!! GER 2 ITA 1?!? Thursday RTG Vibin' !merch !prime","['FIFA', 'SPORTS', 'SOCCER', 'English', 'FC']",[],False
0,2025-03-21 00:02,Hectic,en,Minecraft,🟢SUPER JUICE🟢CRASH OUT🟢#1 MINECRAFTER🟢DIAMONDSSS🟢,"['English', 'USA', 'soccer', 'Football', 'golf', 'golfing', 'ViewerRewards']",[],False
0,2025-03-21 00:02,DamienHaas,en,Monster Hunter Wilds,On Thursdays we wear pelts (of monsters).,"['English', 'NoBackseatingUnlessAsked', 'VoiceActor', 'ViewerRewards']",[],False
0,2025-03-21 00:02,Bullardiniho,en,Assassin's Creed Shadows,AC SHADOWS TIME!! 💥FUT BIRTHDAY 💥 !PSN  !Plus,"['English', 'Football', 'Multiplayer', 'Frontpage', 'FC25', 'FC25ultimateteam', 'Playingwithviewers', 'backseatgamingallowed', 'DropsEnabled']",[],False
0,2025-03-21 00:02,caseoh_,en,Agar.io,🟨LOSING MY MIND🟨,['English'],[],False
0,2025-03-21 00:02,tubbymatt,en,EA Sports FC 25,🔥CLUBS WITH VIEWERS 🔥 SUB PRIO🔥 !Club to join 🔥,['English'],[],False
0,2025-03-21 00:02,coopertv,en,Counter-Strike,🔴FACEIT (MOSTLY) TRYHARD! TOP ELO GAMERS!🔴!tradeit baby :) !registry,"['English', 'Pro', 'Competitive', 'JustChatting']",['MatureGame'],False
0,2025-03-21 00:02,Freakazoid,en,Counter-Strike,🍹THIRSTY THURSDAY FOR ELO🍹!g4skins !tradeit,"['ADHD', 'WORKOUT', '420', 'pro', 'fitness', 'cs', 'English', 'justchatting', 'Competitive']",['MatureGame'],True
0,2025-03-21 00:02,ESLCS,en,Counter-Strike,HIGHLIGHTS: GamerLegion vs paiN - ESL Pro League Season 21,['English'],['MatureGame'],False
1,2025-03-21 00:13,Hectic,en,Minecraft,🟢SUPER JUICE🟢CRASH OUT🟢#1 MINECRAFTER🟢DIAMONDSSS🟢,"['English', 'USA', 'soccer', 'Football', 'golf', 'golfing', 'ViewerRewards']",[],False
1,2025-03-21 00:13,capr1isun,en,Just Chatting,🔴 TRAMPOLINE PARK 🔴 SPECIAL GUESTS 🔴 NEW YT VID OUT 🔴 !Youtube !Discord !Mod 🔴,['English'],[],False
1,2025-03-21 00:13,zwebackhd,en,EA Sports FC 25,"(+)🥶 NEW DAY, NEW ZWE!! THE CRASHOUT RECOVERY BEGINS NOW!! GER 2 ITA 1?!? Thursday RTG Vibin' !merch !prime","['FIFA', 'SPORTS', 'SOCCER', 'English', 'FC']",[],False
1,2025-03-21 00:13,DamienHaas,en,Monster Hunter Wilds,On Thursdays we wear pelts (of monsters).,"['English', 'NoBackseatingUnlessAsked', 'VoiceActor', 'ViewerRewards']",[],False
1,2025-03-21 00:13,neuworldlive,en,inZOI,INZOI SERIES 🦁 DON LOTHARIO IS BACK 🦁 DROPS!,"['Neuworld', 'English', 'gaming', 'inzoi', 'DropsEnabled']",[],False
1,2025-03-21 00:13,caseoh_,en,Half Sword,🟨PREPARED FOR BATTLE🟨,['English'],[],False
1,2025-03-21 00:13,theecornerfive,en,Split Fiction,Stranger Than Fiction | Split Fiction PT.1 w/ @phyferrage,"['English', 'blackgirlgamer', 'gaming', 'PlayStation', 'gamergirl', 'TwitchBlackGuild', 'BlackStreamer', 'splitfiction', 'PC', 'ChaoticChillVibes']",[],False
1,2025-03-21 00:13,PolrrBearr,en,Lego & Brickbuilding,☁️ (18+) STAR WARS LEGOS! + games afterwards? ♡ | !discord !tip,"['English', 'discord', 'LGBTQASafeSpace', 'foxesarecute', 'vrchat', 'pngtuber']",['ProfanityVulgarity'],False
1,2025-03-21 00:13,TEHNEIL,en,Just Chatting,COULDA BEEN LOVE FINALE!🟣NEW GAME NEW ME🟣#CRPRTE !discord !yt🟣scuffed streamer,"['English', 'Black', 'Anime', 'Fashion']",[],False
2,2025-03-21 00:24,Hectic,en,Minecraft,🟢SUPER JUICE🟢CRASH OUT🟢#1 MINECRAFTER🟢DIAMONDSSS🟢,"['English', 'USA', 'soccer', 'Football', 'golf', 'golfing', 'ViewerRewards']",[],False
2,2025-03-21 00:24,DamienHaas,en,Monster Hunter Wilds,On Thursdays we wear pelts (of monsters).,"['English', 'NoBackseatingUnlessAsked', 'VoiceActor', 'ViewerRewards']",[],False
2,2025-03-21 00:24,Bullardiniho,en,Assassin's Creed Shadows,AC SHADOWS TIME!! 💥FUT BIRTHDAY 💥 !PSN  !Plus,"['English', 'Football', 'Multiplayer', 'Frontpage', 'FC25', 'FC25ultimateteam', 'Playingwithviewers', 'backseatgamingallowed', 'DropsEnabled']",[],False
2,2025-03-21 00:24,zwebackhd,en,EA Sports FC 25,"(+)🥶 NEW DAY, NEW ZWE!! THE CRASHOUT RECOVERY BEGINS NOW!! GER 2 ITA 1?!? Thursday RTG Vibin' !merch !prime","['FIFA', 'SPORTS', 'SOCCER', 'English', 'FC']",[],False
2,2025-03-21 00:24,capr1isun,en,Just Chatting,🔴 TRAMPOLINE PARK 🔴 SPECIAL GUESTS 🔴 NEW YT VID OUT 🔴 !Youtube !Discord !Mod !prime 🔴,['English'],[],False
2,2025-03-21 00:25,TheRealPugzilla,en,EA Sports FC 25,Weekend League Prep/Quals - w/Wratched Streaming Machine,"['GoodVibes', 'OldSchool', 'Amish', 'English', 'dog', 'pug', 'pug']",[],False
2,2025-03-21 00:25,TimTheTatmanVODs,en,Marvel Rivals,24/7 MARVEL RIVALS (TIMTHETATMAN FUNNIEST MOMENTS),['English'],[],False
2,2025-03-21 00:25,TenZ,en,Counter-Strike,EXCITING STUFF COMING SOON!!!,"['English', 'Anime', 'FPS']",['MatureGame'],False
2,2025-03-21 00:25,summit1g,en,PUBG: BATTLEGROUNDS,pubg chillin @summit1g !starforge @starforgesystems,['English'],[],True
3,2025-03-21 00:34,shroud,en,Marvel Rivals,[DROPS] BIG bo5's TMRW | !SHROUDX,"['English', 'DropsEnabled']",[],False
3,2025-03-21 00:34,Hectic,en,Minecraft,🟢SUPER JUICE🟢CRASH OUT🟢#1 MINECRAFTER🟢DIAMONDSSS🟢,"['English', 'USA', 'soccer', 'Football', 'golf', 'golfing', 'ViewerRewards']",[],False
3,2025-03-21 00:34,zwebackhd,en,EA Sports FC 25,"(+)🥶 NEW DAY, NEW ZWE!! THE CRASHOUT RECOVERY BEGINS NOW!! GER 2 ITA 1?!? Thursday RTG Vibin' !merch !prime","['FIFA', 'SPORTS', 'SOCCER', 'English', 'FC']",[],False
3,2025-03-21 00:34,DamienHaas,en,Monster Hunter Wilds,On Thursdays we wear pelts (of monsters).,"['English', 'NoBackseatingUnlessAsked', 'VoiceActor', 'ViewerRewards']",[],False
3,2025-03-21 00:34,Bullardiniho,en,Assassin's Creed Shadows,AC SHADOWS TIME!! 💥FUT BIRTHDAY 💥 !PSN  !Plus,"['English', 'Football', 'Multiplayer', 'Frontpage', 'FC25', 'FC25ultimateteam', 'Playingwithviewers', 'backseatgamingallowed', 'DropsEnabled']",[],False
3,2025-03-21 00:34,caseoh_,en,Games + Demos,🟨SPOOKY TIME🟨,['English'],['MatureGame'],False
3,2025-03-21 00:34,soydanielpiedra,es,Minecraft,Capa de la Pelicula de Minecraft,"['gamepass', 'español', 'xbox', 'xboxone', 'Español', 'capa', 'realm', 'pvp', 'minecraft', 'Recompensasdeespectador']",[],False
3,2025-03-21 00:34,Cibergun,es,Minecraft,🎁DROPS MINECRAFT🎁 🟥    Capa GRATIS || Free CAPE  - Java / Bedrock Edition - Con trucos y curiosidades de Minecraft !Cape !drop,"['Minecraft', 'drops', 'Drop', 'minecraft', 'DropsEnabled', 'DropsActivados', 'capa', 'drops', 'cape', 'Español']",[],False
3,2025-03-21 00:34,LeooKnightus,en,Minecraft,[CAPE] Just Mining on play.blossomcraft.org,"['Minecraft', 'BlossomCraft', 'English', 'drops', 'Variety', 'SMP', 'ViewerRewards']",[],True
4,2025-03-21 04:01,Faustography,en,EA Sports FC 25,900K LEFT FOR R9!!! | Any Spare Change?,"['English', 'R9', 'brazil']",[],False
4,2025-03-21 04:01,Ray,en,Tony Hawk's Pro Skater 1+2,!schedule | Grinding to Lvl 100 | Achievements & Chill [Series X],"['TinasHusband', 'FrameRateMerch', 'Number51', 'BetaHetero', 'AwardWinningStreamer', 'MarioPartyMan', 'English']",[],False
4,2025-03-21 04:01,Snipeshot5000,en,EA Sports FC 25,(PRO) TOP 10 ELITE DIV RIVALS | !tactics !discord !coaching !youtube !factor #Factor75Partner,"['Pro', 'ELITE', 'English', 'SpanishAndEnglish', 'HelpsViewers']",[],False
4,2025-03-21 04:01,THENIGELB,en,Just Chatting,TheNigelB 'Just Chatting In 2025',['English'],[],False
4,2025-03-21 04:01,H2ODelirious,en,R.E.P.O.,PRO REPO PLAYER #EpicPartner Creator Code: H2ODelirious,"['h2odelirious', 'funny', 'English']",[],False
4,2025-03-21 04:02,Bengal,en,MLB The Show 25,CO OP WITH DADDYDIMMUTV and GracefulSwan,['English'],[],True
4,2025-03-21 04:02,LetizaTV,pt,VALORANT,a maior do vava | !pix,['Português'],[],False
4,2025-03-21 04:02,JhonnyDrumond,pt,Counter-Strike,de folga hoje mas dandoletiro,['Português'],['MatureGame'],False
4,2025-03-21 04:02,BobSiqueira,pt,Counter-Strike,QUINTA-FEIRA DOS CRIA❗FORMULÁRIO ❗FARM 5X❗TopSkins ❗ Insane gg❗Loja ❗XTSKINS,"['Português', 'Bobzao', 'BobSiqueira', 'CS2', 'cs2stream', 'cs2skin', 'cs2brasil', 'cs2memes', 'cs2gameplay', 'reacts']",['MatureGame'],True
5,2025-03-21 04:13,Ray,en,Tony Hawk's Pro Skater 1+2,!schedule | Grinding to Lvl 100 | Achievements & Chill [Series X],"['TinasHusband', 'FrameRateMerch', 'Number51', 'BetaHetero', 'AwardWinningStreamer', 'MarioPartyMan', 'English']",[],False
5,2025-03-21 04:13,teebeech,en,Just Chatting,WAHS ROOSTERS / REACTION ONLY,"['WOMAN', 'happy', 'cod', 'fortnite', 'oce', 'australia', 'blackops', 'friendly', 'australian', 'dogmum']",[],False
5,2025-03-21 04:13,H2ODelirious,en,R.E.P.O.,PRO REPO PLAYER #EpicPartner Creator Code: H2ODelirious,"['h2odelirious', 'funny', 'English']",[],False
5,2025-03-21 04:13,Bengal,en,MLB The Show 25,CO OP WITH DADDYDIMMUTV and GracefulSwan,['English'],[],True
5,2025-03-21 04:13,Ochris,en,EA Sports FC 25,Vibes - Sub/Follow the !yt !tiktok for stream highlights!,"['English', 'UltimateTeam', 'Chill', 'Beard']",[],False
5,2025-03-21 04:13,TBoneCaponeOG,en,Among Us,1st EVER BONE A THON!! your MOVE Day Deux🟢 CF CAPONE 🟢  #LOC #disabledveterans #weareAYR #stackEDup,"['uswarvet', 'stackedup', 'English']",[],False
6,2025-03-21 04:23,Ponden,en,Sports,F1 CHINESE GRAND PRIX - Sprint Qualifying Build Up,"['English', 'F1', 'Formula1', 'F1Live', 'GrandPrix', 'ChineseGrandPrix', 'China', 'SprintQualifying', 'Watchalong', 'F124']",[],False
6,2025-03-21 04:23,Snipeshot5000,en,EA Sports FC 25,(PRO) TOP 10 ELITE DIV RIVALS | !tactics !discord !coaching !youtube !factor #Factor75Partner,"['Pro', 'ELITE', 'English', 'SpanishAndEnglish', 'HelpsViewers']",[],False
6,2025-03-21 04:23,Ray,en,Tony Hawk's Pro Skater 1+2,!schedule | Grinding to Lvl 100 | Achievements & Chill [Series X],"['TinasHusband', 'FrameRateMerch', 'Number51', 'BetaHetero', 'AwardWinningStreamer', 'MarioPartyMan', 'English']",[],False
6,2025-03-21 04:23,H2ODelirious,en,R.E.P.O.,PRO REPO PLAYER #EpicPartner Creator Code: H2ODelirious,"['h2odelirious', 'funny', 'English']",[],False
6,2025-03-21 04:23,Bengal,en,MLB The Show 25,CO OP WITH DADDYDIMMUTV and GracefulSwan,['English'],[],True
6,2025-03-21 04:23,jblive_tv,en,Sports,"🔴 F1 Live: Chinese GP SPRINT QUALI | Watchalong + Commentary + Data | March 21, 2025 | 2025 Formula 1 Season Live","['F1', 'Formula1', 'Motorsport', 'Motorsports', 'English', 'ChineseGP']",[],False
6,2025-03-21 04:23,umikowai,en,R.E.P.O.,♡ REPO W/ FRIENDS ♡ !lurk ♡ !rizz ♡ !gaslight ♡ !pp ♡ !spotify ♡ !socials ♡,"['VirtualStreamer', 'Awkward', 'NA', 'ASMR', 'VA', 'Latina', 'funnystream', 'marvelrivals', 'repogame', 'repo']",[],False
6,2025-03-21 04:23,strxwberrysky,en,VALORANT,NEW NAME <3 || 18+ || !lurk !pp !rizz,"['English', '18plusstream', 'ChillVibes', 'gamergirl', 'valorant', 'overwatch']",['ProfanityVulgarity'],False
6,2025-03-21 04:23,bpg_4,en,VALORANT,BPG'S DOWNFALL NEEDS TO BE STUDIED,"['English', 'Energetic', 'vibing', 'valorant']",[],False
7,2025-03-21 08:01,MrHugo,es,Minecraft,DROPS | CAPA ESPECIAL DE PELICULA DE MINECRAFT | VER DIRECTO 3 MINUTOS! | !drops,"['Español', 'minecraft', 'MINECRAFT', 'drops', 'Recompensasdeespectador']",[],False
7,2025-03-21 08:02,Stewie2K,en,Counter-Strike,gumption | !giveaway !store !socials !discord !tradeit,"['English', 'FPS', 'CSGO', 'CS2', 'PRO', 'CS', 'Multiplayer']",['MatureGame'],False
7,2025-03-21 08:02,BLASTPremier,en,Counter-Strike,"BLAST Premier Open Spring 2025, Group Stage, Day 3: The Huns vs Falcons,  Astralis vs FaZe Clan, Spirit vs MOUZ, Vitality vs Virtus.pro","['Esports', 'English', 'BLAST', 'blastpremier', 'counterstrike', 'counterstrike2']",['MatureGame'],False
7,2025-03-21 08:02,MarvelRivals,en,Marvel Rivals,[REPLAY] Marvel Rivals Invitational 2025 NA Day 3 (UTC-5）,"['TPS', 'English', 'superhero', 'Shooter', '6v6', 'marvelrivals', 'Action', 'DropsEnabled']",[],False
7,2025-03-21 08:02,dima_wallhacks,en,Counter-Strike,🔴 DIMA vs. EVERY PREMIER RANK (1000 RATING -> 30000 RATING) 🔴 !map !disability !skinsmonkey,"['140IQ', 'English', 'ASMR', 'forsen']",['MatureGame'],False
7,2025-03-21 08:02,nAts,en,VALORANT,Liquid nAts | Back to Berlin | !Alienware !match !where !tg !social [RU/ENG],"['English', 'Русский', 'VALORANT']",[],False
7,2025-03-21 08:02,Elquaria,de,VALORANT,🔴 20H STREAM🔴 !insta,"['Deutsch', 'girl', 'Schweiz', 'german', 'Österreich', 'gaming']",[],False
7,2025-03-21 08:02,FlensburgRP,de,Grand Theft Auto V,Crimler / Gangster gesucht | Streamen darf jede[r] | !mitspielen | !Spieler [in d. Prime] | Deine Einreise-Anleitung steht unten | Vod,"['Deutsch', 'j4fgde', 'rp', 'rpg', 'flensburg', 'flensburgrp', 'GTARP', 'Rollenspiel', 'fivem']",['MatureGame'],False
7,2025-03-21 08:02,fmeo__dixon,en,Just Catting,FMEO__DIXON****Music***** Playing Fortnite,"['Music', 'fortnitegaminglive', 'Fortnite', 'Commentator', 'RollingLoud', '24HourStream', '247Stream', '24h', '72hourstream', '72hourchallenge']",[],True
8,2025-03-21 08:13,MrHugo,es,Minecraft,DROPS | CAPA ESPECIAL DE PELICULA DE MINECRAFT | VER DIRECTO 3 MINUTOS! | !drops,"['Español', 'minecraft', 'MINECRAFT', 'drops', 'Recompensasdeespectador']",[],False
8,2025-03-21 08:13,BLASTPremier,en,Counter-Strike,"BLAST Premier Open Spring 2025, Group Stage, Day 3: The Huns vs Falcons,  Astralis vs FaZe Clan, Spirit vs MOUZ, Vitality vs Virtus.pro","['Esports', 'English', 'BLAST', 'blastpremier', 'counterstrike', 'counterstrike2']",['MatureGame'],False
8,2025-03-21 08:13,Stewie2K,en,Counter-Strike,gumption | !giveaway !store !socials !discord !tradeit,"['English', 'FPS', 'CSGO', 'CS2', 'PRO', 'CS', 'Multiplayer']",['MatureGame'],False
8,2025-03-21 08:13,Ubisoft,en,Assassin's Creed Shadows,🎁DROPS & GIVEAWAYS! 🎁ASSASSIN’S CREED SHADOWS WITH @MCFixer,"['English', 'Action', 'DropsEnabled']",[],False
8,2025-03-21 08:13,MarvelRivals,en,Marvel Rivals,[REPLAY] Marvel Rivals Invitational 2025 NA Day 3 (UTC-5）,"['TPS', 'English', 'superhero', 'Shooter', '6v6', 'marvelrivals', 'Action', 'DropsEnabled']",[],False
8,2025-03-21 08:13,dima_wallhacks,en,Counter-Strike,🔴 DIMA vs. EVERY PREMIER RANK (1000 RATING -> 30000 RATING) 🔴 !map !disability !skinsmonkey,"['140IQ', 'English', 'ASMR', 'forsen']",['MatureGame'],False
8,2025-03-21 08:13,Cibergun,es,Minecraft,🎁DROPS MINECRAFT🎁 🟥    Capa GRATIS || Free CAPE  - Java / Bedrock Edition - Con trucos y curiosidades de Minecraft !Cape !drop,"['Minecraft', 'drops', 'Drop', 'minecraft', 'DropsEnabled', 'DropsActivados', 'capa', 'drops', 'cape', 'Español']",[],False
8,2025-03-21 08:13,YetrTV,en,Minecraft,DROPS: Minecraft Home CAPE - Minecraft Menace Cape !drop !cape,"['English', 'Minecraft', 'trial', 'drops', 'mask', 'cape', 'minecraft', 'ViewerRewards', 'homecape', 'menacecape']",[],False
8,2025-03-21 08:14,Tamara1001,es,Minecraft,[DROPS] AYUDA NO PUEDO DEJAR DE JUGAR MINECRAFT ♡ !redes !ds,"['Latina', 'Mujer', 'Argentina', 'Cámara', 'PC', 'Minecraft', 'Servidor', 'Java', 'Español', 'Mods']",[],False
9,2025-03-21 08:24,MrHugo,es,Minecraft,DROPS | CAPA ESPECIAL DE PELICULA DE MINECRAFT | VER DIRECTO 3 MINUTOS! | !drops,"['Español', 'minecraft', 'MINECRAFT', 'drops', 'Recompensasdeespectador']",[],False
9,2025-03-21 08:24,Stewie2K,en,Counter-Strike,gumption | !giveaway !store !socials !discord !tradeit,"['English', 'FPS', 'CSGO', 'CS2', 'PRO', 'CS', 'Multiplayer']",['MatureGame'],False
9,2025-03-21 08:25,BLASTPremier,en,Counter-Strike,"BLAST Premier Open Spring 2025, Group Stage, Day 3: The Huns vs Falcons,  Astralis vs FaZe Clan, Spirit vs MOUZ, Vitality vs Virtus.pro","['Esports', 'English', 'BLAST', 'blastpremier', 'counterstrike', 'counterstrike2']",['MatureGame'],False
9,2025-03-21 08:25,Ubisoft,en,Assassin's Creed Shadows,🎁DROPS & GIVEAWAYS! 🎁ASSASSIN’S CREED SHADOWS WITH @MCFixer,"['English', 'Action', 'DropsEnabled']",[],False
9,2025-03-21 08:25,MarvelRivals,en,Marvel Rivals,[REPLAY] Marvel Rivals Invitational 2025 NA Day 3 (UTC-5）,"['TPS', 'English', 'superhero', 'Shooter', '6v6', 'marvelrivals', 'Action', 'DropsEnabled']",[],False
9,2025-03-21 08:25,dima_wallhacks,en,Counter-Strike,🔴 DIMA vs. EVERY PREMIER RANK (1000 RATING -> 30000 RATING) 🔴 !map !disability !skinsmonkey,"['140IQ', 'English', 'ASMR', 'forsen']",['MatureGame'],False
9,2025-03-21 08:25,mr_jface,en,ROBLOX,FISCHLIFE(UPDATE PREP) !!!(CODE JFACE) !roblox !discord,"['fortnite', 'engagement', 'roblox', 'funny', 'English', 'Fisch', 'spanish', 'FischRoblox', 'playingwithhviewers', 'Multiplayer']",[],False
9,2025-03-21 08:25,botjayttv,en,ROBLOX,✬ PS99 ✬ Getting Scammed by Preston 😭 ✪ Offical Partner ✪,"['English', 'Deutsch', 'botjaytv', 'RudeStreamer', 'petsimulator99', 'honestman']",[],False
