Data,View_time,searched_game,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
2025-02-05 12:45,945,Sea of Thieves,Beardageddon,en,Sea of Thieves,Want beard 24 hours a day? check the second channel !247 !merch !gs !mobile,"['English', 'Casual', 'Interactive', 'ChatInteraction', 'PvP', 'PvE', 'chill', 'moderated', 'NoPolitics']",[],True
2025-02-05 12:47,3502,Marvel Rivals,Symfuhny,en,Marvel Rivals,[DROPS ON] 🛑 WE HIT TOP 500 🛑SEASON 1 IS HERE 🛑 CELESTIAL 2 🛑 I'M NOT A BIRD 🛑,"['English', 'holidayhoopla', 'DropsEnabled']",[],False
2025-02-05 14:00,3425,Marvel Rivals,Symfuhny,en,Marvel Rivals,[DROPS ON] 🛑 WE HIT TOP 500 🛑SEASON 1 IS HERE 🛑 CELESTIAL 1 🛑 I'M NOT A BIRD 🛑,"['English', 'holidayhoopla', 'DropsEnabled']",[],False
2025-02-05 18:00,1906,Overwatch 2,Skiesti,en,Overwatch 2,[!DROPS] Mercy Juno Gamer !rivals | !mercyhelp @skiesti,"['ADHD', 'SafeSpace', 'Mercy', 'Interactive', 'Chill', 'Canadian', 'Educational', 'Support', 'ClosedCaptions', 'English']",[],False
2025-02-05 22:00,1115,ROBLOX,Arguz11,en,ROBLOX,FREE ROBUX ON PLS DONATE! Commands on screen!,"['giveaway', 'playingwithviewers', 'roblox', 'plsdonate', 'bloxfruit', 'English', 'Rerun', 'Albion', 'mammoth', 'Silver']",[],False
2025-02-06 10:00,2449,League of Legends,Broxah,en,League of Legends,🟢 HE'S ACTUALLY DOING IT: LEGENDARY CHAMP REQUESTS SAGA VS CHALLENGER PLAYERS... 🟢,"['ASMR', 'English']",[],True
2025-02-06 14:00,3074,ROBLOX,RealzBlueWater,en,ROBLOX,🍉VERY SWEET🍉CLICK🐬✨NOW🐬✨💰BIG GIVEAWAYS💰PS5💰💎GIFT CARDS💎GRIND CHANNEL POINTS💎!(>❛̀ 👅 ́❛)>,"['varietystreamer', 'pet', 'dog', 'xqc', 'adinross', 'kaivenat', 'caseoh', 'english', 'English']",[],False
2025-02-06 18:00,2532,The Sims 4,Lu_K,fr,The Sims 4,🔥 J’ai des jumeaux et je dois les rendre heureux… : Crazy Baby Challenge | !recap !crazy !insta,"['Francais', 'Français']",[],False
2025-02-06 22:00,2521,Sea of Thieves,MixelPlx,en,Sea of Thieves,REAL✅SOLO✅LEGEND | NMS LATER | MONSTER HUNTER TONIGHT! | !yt,['English'],[],False
2025-02-07 06:00,2411,Overwatch 2,ta1yo_tv,ja,Overwatch 2,OWの時代が変わっているらしいぞ！OWCS KR #owcs,"['日本語', 'Drops有効']",[],False
2025-02-07 10:00,2148,Marvel Rivals,sips_,en,Marvel Rivals,DROPS its spidey time with @boba & @pedguin,"['dad', 'falconry', 'mapmaking', 'bronzesmith', 'esportsready', 'sensei', 'young', 'English']",['ProfanityVulgarity'],False
2025-02-07 18:02,1643,ROBLOX,Arguz11,en,ROBLOX,FREE ROBUX ON PLS DONATE! Commands on screen!,"['giveaway', 'playingwithviewers', 'roblox', 'plsdonate', 'bloxfruit', 'English', 'Rerun', 'Albion', 'mammoth', 'Silver']",[],False
